Category,Metric,Run1_Cold,Run2,Run3,Avg_Time_s,S_emp,S_theo,Delta
Phase3,k=1,1.3120,1.2841,1.2849,1.2845,1.0000,1.0000,0.0000
Phase3,k=2,0.7012,0.6818,0.6822,0.6820,1.8834,1.8834,0.0000
Phase3,k=4,0.3890,0.3721,0.3729,0.3725,3.4483,3.3735,-0.0748
Phase3,k=8,0.2245,0.2110,0.2118,0.2114,6.0762,5.5815,-0.4947
Phase3,k=16,0.1850,0.1695,0.1701,0.1698,7.5648,8.3008,0.7360
ExpA,Variant1_FalseSharing,1.4500,1.4240,1.4260,1.4250,0.9014,N/A,N/A
ExpA,Variant2_Reduction,0.2245,0.2110,0.2118,0.2114,6.0762,N/A,N/A
ExpB,static_default,0.2450,0.2378,0.2382,0.2380,5.3970,N/A,N/A
ExpB,static_1000,0.2210,0.2142,0.2148,0.2145,5.9883,N/A,N/A
ExpB,dynamic_100,0.2780,0.2648,0.2652,0.2650,4.8471,N/A,N/A
ExpB,dynamic_10000,0.2190,0.2118,0.2122,0.2120,6.0589,N/A,N/A
ExpB,guided_adaptive,0.2180,0.2113,0.2117,0.2115,6.0732,N/A,N/A
